Id,predicted
1,854.2216605
2,840.1245358
3,945.5304334
4,934.5589244
5,903.8807098
6,825.2774385
7,962.5397225
8,818.0112545
9,968.9408051
10,829.9033599
11,988.4595417
12,944.6890234
13,886.6793826
14,886.9188196
15,826.1775374
16,992.4753206
17,937.4330819
18,901.1959874
19,872.8887599
20,887.8948884
21,914.5075248
22,878.7877399
23,970.4222933
24,849.0557977
25,949.8304523
26,875.6565217
27,902.6972426
28,913.0857507
29,843.4801455
30,893.7846354
31,973.9739898
32,864.4357585
33,892.182813
34,986.9668295
35,900.56645
36,898.8962362
37,999.6589546
38,855.2788721
39,856.261744
40,797.0414277
41,952.3944945
42,941.5416333
43,939.7862289
44,895.2907652
45,861.2809113
46,898.8774267
47,929.4432389
48,845.1797531
49,876.0889286
50,983.3437746
51,892.7155658
52,970.2465253
53,913.9780151
54,953.0571732
55,884.1092074
56,853.0829139
57,874.7743295
58,871.4809606
59,897.2778675
60,990.1521819
61,909.0300513
62,867.7182489
63,825.1345949
64,816.5506047
65,875.2248907
66,1011.270345
67,918.2607689
68,875.7262331
69,892.1321743
70,997.6531848
71,880.1987373
72,882.0612257
73,1007.084651
74,921.720493
75,908.564417
76,979.3076938
77,896.4613589
78,941.052334
79,876.9594881
80,893.1960185
81,944.9949885
82,820.1602688
83,911.0781834
84,884.0635816
85,877.7724815
86,806.3011095
87,813.1542667
88,910.1627117
89,917.8837927
90,919.4611508
91,870.9305869
92,910.6596343
93,873.208749
94,851.4669486
95,866.4071098
96,816.0562884
97,1006.060466
98,813.7447673
99,912.6279774
100,874.6053674
101,918.6133745
102,967.6338031
103,918.4264095
104,876.4659723
105,986.5960088
106,849.8101807
107,823.017146
108,964.5223083
109,850.2638007
110,960.8528313
111,875.498696
112,940.994117
113,857.5684962
114,890.9116203
115,874.0095152
116,858.9842684
117,938.0180255
118,947.9569925
119,996.876769
120,1004.586622
121,800.8969454
122,946.8207302
123,913.9092053
124,937.7026739
125,917.2882404
126,811.9722252
127,851.397107
128,883.8794554
129,906.9999918
130,869.9143266
131,881.1135586
132,925.8384779
133,949.2827389
134,828.8663155
135,861.4996728
136,1018.692834
137,909.4551716
138,871.156295
139,813.7871141
140,904.2745065
141,790.0903592
142,994.2880421
143,792.4731366
144,808.5231294
145,874.9381963
146,959.6988803
147,810.9600682
148,945.7182095
149,941.2399828
150,951.4001856
151,899.9115345
152,946.2982113
153,927.1951054
154,831.7443506
155,825.85086
156,816.6868819
157,875.0608883
158,858.4915508
159,901.7944038
160,824.0610969
161,896.8065793
162,947.0161033
163,858.7544283
164,909.1039082
165,909.192902
166,942.685386
167,975.3264278
168,902.2673733
169,914.2020441
170,907.0979344
171,858.0848062
172,899.7476398
173,869.7325455
174,827.0303321
175,915.6750201
176,936.7961515
177,886.0876106
178,794.7730652
179,924.709565
180,966.9924044
181,896.6288314
182,946.9126318
183,880.0901269
184,874.9422118
185,947.2993035
186,893.4652201
187,903.7157025
188,818.4543014
189,943.9478504
190,946.3095604
191,937.9664191
192,890.5576537
193,890.5734722
194,869.3143256
195,920.0026557
196,920.6092271
197,912.3046925
198,912.3759161
199,881.2910917
200,913.1667864
201,922.4202892
202,876.2784843
203,802.7041735
204,955.7724608
205,954.8289863
206,885.4017622
207,867.8629003
208,811.4590811
209,929.2149786
210,959.3373546
211,876.4106368
212,924.9208275
213,796.7553551
214,996.4081709
215,977.6478324
216,850.8071027
217,856.903343
218,824.4322141
219,875.2088485
220,961.0117531
221,921.4820875
222,978.9830728
223,885.1592354
224,960.7351854
225,789.8715152
226,884.6377871
227,864.4265216
228,890.0509005
229,966.3573974
230,870.6177727
231,876.5202126
232,811.1623847
233,961.842787
234,966.2268101
235,910.726806
236,860.0802503
237,887.5122443
238,858.4966583
239,808.501195
240,975.8652884
241,879.3133915
242,865.6726862
243,1000.976288
244,882.3469276
245,894.9625383
246,885.8324441
247,859.9995962
248,853.232228
249,972.7629841
250,930.6261648
251,829.7907011
252,925.3831439
253,889.3007143
254,913.4013065
255,803.5803208
256,844.0089781
257,914.439221
258,905.6764354
259,990.3901614
260,945.5706483
261,853.1502523
262,933.4158994
263,956.4145648
264,816.6969546
265,879.0038449
266,845.9262895
267,820.0415113
268,928.2002444
269,965.4929823
270,875.0044199
271,879.9826591
272,926.2685997
273,886.8998691
274,908.50918
275,989.2398747
276,827.6060666
277,863.338482
278,864.1693088
279,886.8230166
280,896.212593
281,915.3414943
282,882.2256325
283,950.8109182
